angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
138.81,10.63,3.0,-1.0,-1.0,1.0,-1.0,3.0
135.0,9.9,3.0,-1.0,1.0,-1.0,-1.0,3.0
130.6,9.22,3.0,-1.0,1.0,-1.0,-1.0,3.0
125.54,8.6,3.0,-1.0,1.0,-1.0,-1.0,3.0
119.74,8.06,3.0,-1.0,1.0,-1.0,-1.0,3.0
113.2,7.62,3.0,-1.0,1.0,-1.0,-1.0,3.0
105.95,7.28,3.0,-1.0,1.0,-1.0,-1.0,2.0
98.13,7.07,2.0,-1.0,1.0,-1.0,-1.0,2.0
99.46,6.08,2.0,1.0,-1.0,-1.0,-1.0,2.0
101.31,5.1,2.0,1.0,-1.0,-1.0,-1.0,2.0
104.04,4.12,2.0,1.0,-1.0,-1.0,-1.0,2.0
108.43,3.16,2.0,1.0,-1.0,-1.0,-1.0,2.0
116.57,2.24,2.0,1.0,-1.0,-1.0,-1.0,2.0
135.0,1.41,2.0,1.0,-1.0,-1.0,-1.0,3.0
180.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
0.0,0.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
-95.19,11.05,3.0,-1.0,1.0,-1.0,-1.0,3.0
-90.0,11.0,3.0,-1.0,1.0,-1.0,-1.0,0.0
-84.81,11.05,0.0,-1.0,1.0,-1.0,-1.0,0.0
-84.29,10.05,0.0,-1.0,-1.0,1.0,-1.0,0.0
-83.66,9.06,0.0,-1.0,-1.0,1.0,-1.0,1.0
-82.87,8.06,1.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,8.0,0.0,-1.0,-1.0,-1.0,1.0,0.0
-90.0,7.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
14.04,4.12,0.0,-1.0,-1.0,1.0,-1.0,1.0
26.57,4.47,1.0,-1.0,-1.0,1.0,-1.0,1.0
33.69,3.61,1.0,-1.0,-1.0,-1.0,1.0,1.0
45.0,2.83,1.0,-1.0,-1.0,-1.0,1.0,1.0
63.43,2.24,1.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
0.0,0.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
-168.69,10.2,2.0,1.0,-1.0,-1.0,-1.0,2.0
-163.3,10.44,2.0,1.0,-1.0,-1.0,-1.0,2.0
-158.2,10.77,2.0,1.0,-1.0,-1.0,-1.0,3.0
-153.43,11.18,3.0,1.0,-1.0,-1.0,-1.0,3.0
-150.95,10.3,3.0,-1.0,1.0,-1.0,-1.0,3.0
-147.99,9.43,3.0,-1.0,1.0,-1.0,-1.0,3.0
-144.46,8.6,3.0,-1.0,1.0,-1.0,-1.0,3.0
-140.19,7.81,3.0,-1.0,1.0,-1.0,-1.0,3.0
-135.0,7.07,3.0,-1.0,1.0,-1.0,-1.0,3.0
-128.66,6.4,3.0,-1.0,1.0,-1.0,-1.0,3.0
-120.96,5.83,3.0,-1.0,1.0,-1.0,-1.0,3.0
-111.8,5.39,3.0,-1.0,1.0,-1.0,-1.0,3.0
-101.31,5.1,3.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
-5.19,11.05,1.0,-1.0,-1.0,1.0,-1.0,1.0
-5.71,10.05,1.0,-1.0,-1.0,-1.0,1.0,1.0
-6.34,9.06,1.0,-1.0,-1.0,-1.0,1.0,1.0
-7.13,8.06,1.0,-1.0,-1.0,-1.0,1.0,0.0
-8.13,7.07,0.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,7.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,6.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,5.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,4.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
